node,function,verse,text,front,sentence
513551,simultaneous,2 Chr 15:10,בַּחֹ֣דֶשׁ שְּׁלִישִׁ֑י לִשְׁנַ֥ת חֲמֵשׁ־עֶשְׂרֵ֖ה לְמַלְכ֥וּת אָסָֽא׃,בְּ,וַיִּקָּבְצ֥וּ יְרוּשָׁלִַ֖ם בַּחֹ֣דֶשׁ הַשְּׁלִישִׁ֑י לִשְׁנַ֥ת חֲמֵשׁ־עֶשְׂרֵ֖ה לְמַלְכ֥וּת אָסָֽא׃ 
513552,simultaneous,2 Chr 15:11,בַּיֹּ֣ום ה֔וּא,בְּ,וַיִּזְבְּח֤וּ לַיהוָה֙ בַּיֹּ֣ום הַה֔וּא מִן־הַשָּׁלָ֖ל הֵבִ֑יאוּ בָּקָר֙ שְׁבַ֣ע מֵאֹ֔ות וְצֹ֖אן שִׁבְעַ֥ת אֲלָפִֽים׃ 
513571,atelic_ext,2 Chr 15:17,כָּל־יָמָֽיו׃,Ø,רַ֧ק לְבַב־אָסָ֛א הָיָ֥ה שָׁלֵ֖ם כָּל־יָמָֽיו׃ 
513574,simultaneous,2 Chr 16:1,בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וָשֵׁשׁ֙ לְמַלְכ֣וּת אָסָ֔א,בְּ,בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וָשֵׁשׁ֙ לְמַלְכ֣וּת אָסָ֔א עָלָ֞ה בַּעְשָׁ֤א מֶֽלֶךְ־יִשְׂרָאֵל֙ עַל־יְהוּדָ֔ה 
513599,simultaneous,2 Chr 16:7,בָעֵ֣ת הִ֗יא,בְּ,וּבָעֵ֣ת הַהִ֗יא בָּ֚א חֲנָ֣נִי הָרֹאֶ֔ה אֶל־אָסָ֖א מֶ֣לֶךְ יְהוּדָ֑ה 
513617,simultaneous,2 Chr 16:10,בָּעֵ֥ת הִֽיא׃,בְּ,וַיְרַצֵּ֥ץ אָסָ֛א מִן־הָעָ֖ם בָּעֵ֥ת הַהִֽיא׃ 
513620,simultaneous,2 Chr 16:12,בִּשְׁנַת֩ שְׁלֹושִׁ֨ים וָתֵ֤שַׁע לְמַלְכוּתֹו֙,בְּ,וַיֶּחֱלֶ֣א אָסָ֡א בִּשְׁנַת֩ שְׁלֹושִׁ֨ים וָתֵ֤שַׁע לְמַלְכוּתֹו֙ בְּרַגְלָ֔יו 
513625,simultaneous,2 Chr 16:13,בִּשְׁנַ֛ת אַרְבָּעִ֥ים וְאַחַ֖ת,בְּ,וַיָּ֕מָת בִּשְׁנַ֛ת אַרְבָּעִ֥ים וְאַחַ֖ת לְמָלְכֹֽו׃ 
513649,simultaneous,2 Chr 17:7,בִשְׁנַ֨ת שָׁלֹ֜ושׁ,בְּ,וּבִשְׁנַ֨ת שָׁלֹ֜ושׁ לְמָלְכֹ֗ו שָׁלַ֤ח לְשָׂרָיו֙ לְבֶן־חַ֨יִל֙ וּלְעֹבַדְיָ֣ה וְלִזְכַרְיָ֔ה וְלִנְתַנְאֵ֖ל וּלְמִיכָיָ֑הוּ לְלַמֵּ֖ד בְּעָרֵ֥י יְהוּדָֽה׃ וְעִמָּהֶ֣ם הַלְוִיִּ֗ם שְֽׁמַֽעְיָ֡הוּ וּנְתַנְיָ֡הוּ וּזְבַדְיָ֡הוּ וַעֲשָׂהאֵ֡ל וּשְׁמִֽירָמֹ֡ות וִֽיהֹונָתָן֩ וַאֲדֹ֨נִיָּ֧הוּ וְטֹֽובִיָּ֛הוּ וְטֹ֥וב אֲדֹונִיָּ֖ה הַלְוִיִּ֑ם וְעִמָּהֶ֛ם אֱלִישָׁמָ֥ע וִֽיהֹורָ֖ם הַכֹּהֲנִֽים׃ 
513715,atelic_ext,2 Chr 18:7,כָל־יָמָ֣יו,Ø,כִּֽי־אֵ֠ינֶנּוּ מִתְנַבֵּ֨א עָלַ֤י לְטֹובָה֙ כִּ֣י כָל־יָמָ֣יו לְרָעָ֔ה 
