node,ref,head_voc,text,category,sentence,link
675114,Exod 16:32,מִדְבָּר,בַּמִּדְבָּ֔ר,glob,לְמַ֣עַן׀ יִרְא֣וּ אֶת־הַלֶּ֗חֶם אֲשֶׁ֨ר הֶאֱכַ֤לְתִּי אֶתְכֶם֙ בַּמִּדְבָּ֔ר בְּהֹוצִיאִ֥י אֶתְכֶ֖ם מֵאֶ֥רֶץ מִצְרָֽיִם׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=16&verse=32&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
675377,Exod 17:14,שָׁמַיִם,מִתַּ֖חַת הַשָּׁמָֽיִם׃,glob,כִּֽי־מָחֹ֤ה אֶמְחֶה֙ אֶת־זֵ֣כֶר עֲמָלֵ֔ק מִתַּ֖חַת הַשָּׁמָֽיִם׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=17&verse=14&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
675484,Exod 18:8,דֶּרֶךְ,בַּדֶּ֔רֶךְ,frame,וַיְסַפֵּ֤ר מֹשֶׁה֙ לְחֹ֣תְנֹ֔ו אֵת֩ כָּל־אֲשֶׁ֨ר עָשָׂ֤ה יְהוָה֙ לְפַרְעֹ֣ה וּלְמִצְרַ֔יִם עַ֖ל אֹודֹ֣ת יִשְׂרָאֵ֑ל אֵ֤ת כָּל־הַתְּלָאָה֙ אֲשֶׁ֣ר מְצָאָ֣תַם בַּדֶּ֔רֶךְ וַיַּצִּלֵ֖ם יְהוָֽה׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=18&verse=8&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
675740,Exod 19:2,מִדְבָּר,בַּמִּדְבָּ֑ר,anap,וַֽיַּחֲנ֖וּ בַּמִּדְבָּ֑ר,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=19&verse=2&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
675745,Exod 19:2,הַר,נֶ֥גֶד הָהָֽר׃,frame,וַיִּֽחַן־שָׁ֥ם יִשְׂרָאֵ֖ל נֶ֥גֶד הָהָֽר׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=19&verse=2&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
675754,Exod 19:3,הַר,מִן־הָהָ֣ר,frame,וַיִּקְרָ֨א אֵלָ֤יו יְהוָה֙ מִן־הָהָ֣ר לֵאמֹ֔ר,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=19&verse=3&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
675993,Exod 19:20,הַר,אֶל־רֹ֣אשׁ הָהָ֑ר,frame,וַיֵּ֧רֶד יְהוָ֛ה עַל־הַ֥ר סִינַ֖י אֶל־רֹ֣אשׁ הָהָ֑ר,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=19&verse=20&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
675998,Exod 19:20,הַר,אֶל־רֹ֥אשׁ הָהָ֖ר,frame,וַיִּקְרָ֨א יְהוָ֧ה לְמֹשֶׁ֛ה אֶל־רֹ֥אשׁ הָהָ֖ר,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=19&verse=20&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
676495,Exod 21:19,חוּץ,בַּח֛וּץ,glob,וְהִתְהַלֵּ֥ךְ בַּח֛וּץ עַל־מִשְׁעַנְתֹּ֖ו,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=21&verse=19&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
677041,Exod 22:30,שָׂדֶה,בַּשָּׂדֶ֤ה,frame,וּבָשָׂ֨ר בַּשָּׂדֶ֤ה טְרֵפָה֙ לֹ֣א תֹאכֵ֔לוּ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=22&verse=30&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
